name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Kaplan, Jerry",41X0504J,2019-07-09 05:51:17,FALSE,Midwife outside the UK,No,Ill health,Midwife,Practice hours,FALSE,FALSE
"al-Mohammad, Raafi",47L7018T,2019-09-27 07:46:28,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Written reflective accounts,TRUE,TRUE
"Day, Alexandra",03I5581N,2019-11-10 07:47:14,FALSE,Midwife outside the UK,Partial lapse,Ill health,Nurse,CPD,FALSE,FALSE
"Stevens, Delrey",66P3412Q,2019-10-10 16:15:20,TRUE,Nurse inside the UK,Yes,Deceased,Midwife,Written reflective accounts,FALSE,FALSE
"Castellanos, Thalia",22Q2024Y,2019-12-24 20:30:59,FALSE,Nurse outside the UK,Partial lapse,Ill health,Midwife,Reflective discussion,TRUE,TRUE
"Le, Jordan",47J3591J,2019-02-06 18:10:42,TRUE,Nurse outside the UK,No,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Burke, Orson",19E0347T,2019-04-01 02:17:24,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Written reflective accounts,TRUE,FALSE
"Estrada, Darion",23V5912F,2019-02-05 23:37:51,TRUE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Practice-related feedback,FALSE,FALSE
"John, Wanbli",93L3787G,2019-05-18 15:10:02,FALSE,Nurse inside the UK,No,Deceased,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Chongtoua, Claire",42C3984X,2019-06-26 10:29:08,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Midwife,Health and character declaration,TRUE,FALSE
"Dobrzenski, Eva-Lou",95O6061X,2019-11-28 21:34:20,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"Ali, Arik",12E5419M,2019-03-09 19:25:05,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Arcega, Raelena",42W4136O,2019-09-29 18:26:19,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,CPD,FALSE,FALSE
"Malcom, Katherine",17S7227C,2019-05-10 02:37:00,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Health and character declaration,TRUE,TRUE
"Fernandez, Erick",71H5664M,2019-03-18 01:22:08,TRUE,Nurse inside the UK,No,Ill health,Nurse,Reflective discussion,TRUE,FALSE
"Ngo, Yonghyuk",99U3656P,2019-08-15 11:32:07,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Practice hours,FALSE,TRUE
"el-Rayes, Shujaa",95X2919M,2019-06-22 05:33:46,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Midwife,Practice hours,FALSE,TRUE
"el-Moghaddam, Taamir",02S7719K,2019-01-19 22:22:02,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,TRUE
"Dolan, Evan",91G0159H,2019-09-18 16:44:13,FALSE,Nurse inside the UK,No,Ill health,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Dowse, Alexia",59L1663Z,2019-10-21 18:12:40,TRUE,Nurse outside the UK,Yes,Retirement,Midwife,Health and character declaration,FALSE,TRUE
"Bogard, Colton",82D7364F,2019-06-02 01:05:04,TRUE,Nurse inside the UK,Partial lapse,Ill health,Midwife,Practice hours,FALSE,FALSE
"Shaw, Caleb",73Q9531F,2019-12-07 06:41:28,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,TRUE
"al-Halim, Sumayya",85G1704S,2019-02-28 15:53:06,TRUE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Practice hours,TRUE,FALSE
"Banks, Jamariah",75V5276P,2019-11-23 06:17:17,TRUE,Nurse outside the UK,No,Deceased,Nurse,CPD,TRUE,FALSE
"Fellows, Julie",19V5392T,2019-04-10 01:40:51,TRUE,Nurse outside the UK,No,Retirement,Midwife,Health and character declaration,FALSE,FALSE
"al-Alam, Insaaf",49T6618N,2019-03-31 03:36:21,TRUE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Ruelas, Deyanira",62Y6059K,2019-02-19 13:28:31,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,CPD,FALSE,FALSE
"Boyd, Marthalee",32W8307A,2019-03-25 16:39:36,FALSE,Nurse inside the UK,Yes,Ill health,Midwife,Practice hours,TRUE,TRUE
"el-Muhammad, Mahuroos",08F2693K,2019-03-19 15:17:34,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Lucas, Elijah",04M7576H,2019-03-19 21:58:21,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Reflective discussion,TRUE,TRUE
"Malouff, Ricky",47W9125U,2019-03-15 11:19:58,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,CPD,TRUE,TRUE
"Kim, Megan Janet",04Z6590F,2019-06-02 16:24:13,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Written reflective accounts,TRUE,FALSE
"el-Edris, Musaddiq",62D7359N,2019-02-20 08:19:39,FALSE,Midwife outside the UK,Yes,Ill health,Midwife,Practice hours,FALSE,FALSE
"Martin, Kanisha",42Q8438A,2019-10-08 14:00:39,FALSE,Nurse outside the UK,Yes,Deceased,Nurse,Written reflective accounts,FALSE,TRUE
"Coyote, Cheyanne",49L2991Z,2019-05-09 18:29:58,TRUE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"al-Sultan, Taariq",88B3165O,2019-08-15 11:32:07,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Lane, Nakeia",42E5175W,2019-09-30 06:31:07,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Midwife,Practice hours,FALSE,FALSE
"Toraya-Sosa, Jessica",03P2870N,2019-03-02 13:40:37,FALSE,Nurse outside the UK,No,Retirement,Midwife,Confirmation,FALSE,TRUE
"Shaw, Caleb",57W8779A,2019-10-20 05:32:33,FALSE,Nurse inside the UK,No,Deceased,Nurse,Reflective discussion,TRUE,TRUE
"Weaver, Matthew",93F3117H,2019-09-22 10:02:46,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Written reflective accounts,TRUE,TRUE
"Zartman, Alicia",29R2639N,2019-07-11 12:21:10,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice hours,TRUE,FALSE
"Berrill, Marcus",91U8498O,2019-07-26 20:42:53,FALSE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Murray, Simon",44A1447W,2019-01-18 08:35:52,TRUE,Nurse outside the UK,Yes,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"Quezada, Angie",16W2977I,2019-05-18 15:21:41,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Written reflective accounts,TRUE,TRUE
"Nuggehalli, Patrick",67X7249S,2019-12-24 05:30:56,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"al-Azer, Sakeena",59J6119L,2019-03-31 21:49:29,TRUE,Nurse inside the UK,Yes,Deceased,Midwife,Practice hours,FALSE,TRUE
"Franko, Maesa",02F4691X,2019-09-05 13:36:10,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,CPD,TRUE,FALSE
"Jones, Charles",93M3797J,2019-08-11 07:16:12,TRUE,Midwife outside the UK,No,Retirement,Midwife,Practice-related feedback,FALSE,FALSE
"Cunningham, Alexander",83J8720W,2019-01-11 18:16:31,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Reflective discussion,FALSE,FALSE
"Martinez, Ashley",86Q3144G,2019-08-03 17:19:16,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,TRUE
"Duran, Cassandra",61Q9587D,2019-08-17 15:37:35,FALSE,Midwife outside the UK,No,Retirement,Midwife,Practice hours,FALSE,TRUE
"al-Noori, Aiman",35M6655R,2019-02-21 15:09:44,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,FALSE
"Sells, Tracie",80S9104S,2019-08-05 19:49:41,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Midwife,Health and character declaration,TRUE,FALSE
"Corro, Cristobal",96Z3668M,2019-05-27 11:12:28,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,FALSE
"Grant, Tasia",13Z7081H,2019-07-27 06:43:07,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Agbenyo, Malei'Ka",44N5779F,2019-04-27 05:25:41,FALSE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,FALSE
"Garcia, Savannah",89J8594T,2019-02-02 14:01:44,FALSE,Nurse inside the UK,No,Retirement,Nurse,CPD,TRUE,TRUE
"Lowe, Wyatt",87G9770A,2019-01-10 13:58:54,FALSE,Midwife outside the UK,Yes,Deceased,Nurse,CPD,FALSE,FALSE
"Price, Taven",43K6651U,2019-10-31 11:10:23,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Dong, Amy",14T0583H,2019-05-07 17:45:21,TRUE,Midwife outside the UK,Yes,Deceased,Midwife,Practice hours,FALSE,FALSE
"al-Malek, Saqr",31B2424A,2019-06-08 10:41:33,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,FALSE
"Gordon, Briana",77W2386F,2019-08-25 12:57:24,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Reflective discussion,FALSE,TRUE
"el-Zadeh, Sham'a",76Y7960O,2019-04-17 17:17:59,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,TRUE
"Myers, Andrew",03K1915F,2019-07-12 23:20:37,TRUE,Midwife outside the UK,Yes,Deceased,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Butler, Marcus",74H9876F,2019-09-16 07:46:59,FALSE,Midwife outside the UK,No,Deceased,Midwife,Practice-related feedback,FALSE,FALSE
"Araujo-Mendoza, Karen",81T7846P,2019-06-09 12:10:18,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,TRUE
"Phan, Elizabeth",74U9075Y,2019-02-18 16:02:57,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Midwife,CPD,TRUE,TRUE
"Lopez-Guzman, Savanah",37Z8344V,2019-08-30 16:59:34,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Practice-related feedback,TRUE,TRUE
"Lovan, Jaleesa-Lynn",38N1632O,2019-11-25 15:54:12,TRUE,Midwife outside the UK,Yes,Deceased,Nurse,Confirmation,TRUE,TRUE
"Huynh, Andrew",84M2074A,2019-08-22 01:43:29,FALSE,Midwife outside the UK,No,Retirement,Nurse,Health and character declaration,TRUE,FALSE
"Vigil, Mikell",61Y3901H,2019-09-06 02:10:23,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,TRUE
"Taylor, Naomi",38B6904I,2019-02-23 21:42:59,TRUE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Practice hours,TRUE,TRUE
"Nelson, Bryan",59Y8800T,2019-08-19 02:42:40,FALSE,Nurse inside the UK,Yes,Ill health,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Lecuyer-Briley, James",87R4263F,2019-09-29 11:05:36,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,TRUE
"Lee, Akilo",64U9041I,2019-08-31 14:17:25,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,TRUE
"al-Karimi, Tulaiha",02M6548F,2019-05-19 06:24:02,FALSE,Midwife outside the UK,No,Retirement,Midwife,Reflective discussion,TRUE,TRUE
"al-Mahfouz, Radiyya",72B7831U,2019-02-09 08:02:51,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,FALSE
"Bueno, Aleena",39A2044M,2019-07-19 01:32:18,FALSE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Written reflective accounts,TRUE,FALSE
"Mendoza, Katy",39J4686J,2019-09-08 16:33:05,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Practice-related feedback,TRUE,TRUE
"Mcelhaney, Zachery",37W3636T,2019-02-20 20:10:58,TRUE,Midwife outside the UK,Yes,Deceased,Nurse,Practice hours,TRUE,TRUE
"Bernard, Christopher",75O1554E,2019-10-22 02:17:53,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,CPD,FALSE,TRUE
"Estrada Sanchez, Hector",69F4580Z,2019-07-11 15:43:32,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Midwife,Practice-related feedback,TRUE,FALSE
"Denton, Taylor",35Y5812M,2019-07-04 20:49:45,FALSE,Midwife outside the UK,No,Retirement,Nurse,CPD,FALSE,TRUE
"Anderson, Mariamawit",53F2064T,2019-11-04 06:28:57,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Reflective discussion,FALSE,FALSE
"el-Adel, Jawhar",29H4643P,2019-09-14 03:24:36,FALSE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"Koca, Cameron",88I8400O,2019-01-13 06:01:38,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,CPD,TRUE,FALSE
"Hutchins, Tyler",82Q7460Z,2019-01-08 10:43:01,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Written reflective accounts,FALSE,TRUE
"al-Halaby, Faatih",42S3079Z,2019-04-09 12:07:41,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Practice-related feedback,FALSE,FALSE
"Desta, Shontae",53P1654M,2019-06-14 12:14:12,TRUE,Midwife outside the UK,No,Ill health,Midwife,Practice-related feedback,TRUE,FALSE
"Clarke, Kiana",92A9902O,2019-01-10 04:18:40,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,TRUE
"el-Murad, Qaaid",58I2615R,2019-01-19 11:56:41,TRUE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,TRUE
"Medina, Perla",19X7154A,2019-07-14 12:10:01,FALSE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Written reflective accounts,TRUE,FALSE
"Griffee, Brittany",65H2198L,2019-08-09 18:22:42,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Midwife,Written reflective accounts,TRUE,TRUE
"Jarvis, Selena",07P4490L,2019-09-08 08:19:18,TRUE,Midwife outside the UK,Yes,Deceased,Nurse,Health and character declaration,TRUE,FALSE
"Harris, Elena",31P7927Y,2019-06-13 23:03:51,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Health and character declaration,FALSE,FALSE
"Gamez, Nicolas",56A3169A,2019-08-16 03:55:06,TRUE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Health and character declaration,TRUE,FALSE
"Lazo, Ciera",30W3086T,2019-08-17 06:45:58,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Reflective discussion,FALSE,FALSE
"Martinez, Aron",13M7433Z,2019-10-31 10:31:48,FALSE,Nurse inside the UK,Yes,Retirement,Midwife,Written reflective accounts,FALSE,FALSE
"el-Omer, Haala",73W1077L,2019-09-17 21:32:31,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Written reflective accounts,FALSE,TRUE
"Williams, Raeanna",52T9127K,2019-09-20 10:57:28,TRUE,Nurse outside the UK,No,Retirement,Nurse,Practice hours,TRUE,FALSE
"al-Hai, Zuhriyaa",69N0171F,2019-02-20 13:33:43,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Midwife,Health and character declaration,FALSE,FALSE
"al-Shariff, Musheer",66L5788W,2019-12-22 19:08:00,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,FALSE
"La, Vivian",65H2198L,2019-01-28 01:57:04,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Written reflective accounts,FALSE,FALSE
"Eloriaga, Pauline",82Q7460Z,2019-10-04 05:07:44,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,CPD,FALSE,FALSE
"Martinez, Lahana",33M7892H,2019-06-14 09:56:59,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,FALSE
"French, James",35S4799Q,2019-03-14 17:14:11,FALSE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Practice hours,FALSE,TRUE
"Romero, Adrian",09B6784E,2019-03-28 06:58:12,FALSE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Confirmation,FALSE,FALSE
"al-Dada, Saood",81S3948I,2019-08-01 15:53:17,TRUE,Nurse inside the UK,Yes,Retirement,Midwife,Reflective discussion,TRUE,FALSE
"Hull, Deangelo",70J9332T,2019-08-02 17:05:33,TRUE,Midwife outside the UK,No,Retirement,Nurse,CPD,FALSE,FALSE
"Meadows, Brianna",75Q6465Z,2019-05-31 14:00:38,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Practice hours,TRUE,TRUE
"Hoang, Kallie",62W4738L,2019-10-08 13:55:21,FALSE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Practice hours,FALSE,FALSE
"Coreau, Joshua",97H7193L,2019-08-20 10:31:38,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,Health and character declaration,TRUE,FALSE
"Baca, Nathan",30L0079K,2019-11-23 23:16:29,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Written reflective accounts,TRUE,FALSE
"Brown, Bradford",73W1077L,2019-01-19 09:47:48,FALSE,Nurse inside the UK,No,Retirement,Nurse,Reflective discussion,FALSE,TRUE
"Geraldino, Iris",18T8100W,2019-02-01 21:35:04,TRUE,Midwife outside the UK,Yes,Ill health,Midwife,Practice hours,FALSE,TRUE
"Trujillo, Ashley",33J3065U,2019-04-17 14:49:47,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Practice-related feedback,FALSE,TRUE
"Merritt, Staylen",99C8529A,2019-10-05 07:26:21,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,CPD,FALSE,FALSE
"Diess, Nathaniel",86B4599O,2019-04-24 20:47:37,TRUE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Midwife,CPD,TRUE,TRUE
"el-Hakim, Katheer",21J9663J,2019-12-24 09:56:50,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Midwife,Written reflective accounts,FALSE,TRUE
"el-Abood, Mushtaaq",97B6010T,2019-03-29 10:19:25,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Written reflective accounts,TRUE,TRUE
"Boyack, Samantha",57W8779A,2019-03-31 13:03:28,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Practice hours,TRUE,FALSE
"Verde, Tashina",92E4233H,2019-11-14 04:35:16,FALSE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Reflective discussion,TRUE,TRUE
"Golnick, Curtis",12B9166L,2019-03-06 06:11:18,TRUE,Nurse inside the UK,No,Ill health,Midwife,Confirmation,TRUE,FALSE
"Jones, Yael",25B7457C,2019-07-04 09:52:44,FALSE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,TRUE,FALSE
