name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"Martinez, Derrick",57Y0219N,2019-03-09 05:26:16,Member fo the public,Reason2,allegationtype1,Information from employer
"Healy, Ta",88C0430D,2019-09-20 00:47:03,Employer,Reason2,allegationtype2,
"Lee, Tseren-Yondon",81K7514N,2019-08-10 21:15:14,Employer,Reason2,allegationtype2,Information from employer
"al-Azer, Nakheel",97J8828I,2019-07-17 15:47:51,Employer,Reason1,allegationtype2,
"al-Azer, Sakeena",21T2670A,2019-06-25 15:04:05,Member fo the public,Reason2,allegationtype1,Information from employer
"Completo, Danielle",83Q8047F,2019-01-19 23:18:46,Employer,Reason1,allegationtype2,
"Buist Jr, Katrina",74R3308W,2019-11-30 22:25:41,Employer,Reason2,allegationtype1,
"Adams, Synquiss",13D3881H,2019-11-11 15:26:08,Employer,Reason1,allegationtype2,
"Barraza, Jesus",63S4884B,2019-11-04 19:19:22,Employer,Reason1,allegationtype1,Information from employer
"Merritt, Kaleb",42E8045L,2019-08-28 08:59:42,Member fo the public,Reason2,allegationtype2,
"Hammond, Nico",89Y1491Z,2019-08-08 18:14:44,Member fo the public,Reason2,allegationtype1,Information from employer
"Udom, Treshawn",69A3788N,2019-02-10 00:35:39,Member fo the public,Reason2,allegationtype2,Information from employer
"Harrington, Sean",13N0057H,2019-07-09 22:57:14,Employer,Reason2,allegationtype1,Information from employer
"Sanchez Aguilera, Schendall",58E4568F,2019-09-22 23:49:48,Employer,Reason2,allegationtype2,
"el-Othman, Zayyaan",47D0689Y,2019-11-14 05:53:42,Employer,Reason2,allegationtype2,Information from employer
"Peck, Leandra",59A0953U,2019-04-15 02:06:18,Employer,Reason2,allegationtype2,Information from employer
"al-Safar, Numair",93T7282A,2019-08-09 02:05:22,Member fo the public,Reason2,allegationtype2,
"Kim, Joshua",89J2097W,2019-08-15 11:32:07,Member fo the public,Reason1,allegationtype2,
"Shultz, Alexandra",64T6926E,2019-05-17 18:56:13,Member fo the public,Reason1,allegationtype1,
"Hernandez, Angel",27T2507U,2019-08-16 08:20:39,Employer,Reason1,allegationtype1,Information from employer
"Gutshall, Connor",17B6783O,2019-12-25 19:35:57,Employer,Reason1,allegationtype1,
"Vigil, Samantha",15K9528A,2019-10-29 21:26:03,Employer,Reason2,allegationtype1,
"Dewberry, Jaliya",02Z2033G,2019-08-07 07:52:14,Employer,Reason1,allegationtype1,Information from employer
"Owens, Mohamed",48O1612G,2019-07-22 09:17:38,Employer,Reason1,allegationtype2,Information from employer
"Lopez, Donaji",98T2759Y,2019-01-18 11:42:48,Member fo the public,Reason2,allegationtype2,Information from employer
"Hefty, Elizabeth",09G8879M,2019-02-23 22:15:21,Member fo the public,Reason2,allegationtype1,
"Snow, Camesha",10Z3800O,2019-04-11 16:58:57,Member fo the public,Reason2,allegationtype1,
"Eltayeb, Jasahne",89E9400M,2019-01-14 06:55:04,Employer,Reason2,allegationtype1,Information from employer
"Pickering, Poulami",62X6177G,2019-02-09 11:18:29,Employer,Reason1,allegationtype2,
"Sanchez, Cassandra",61E6483T,2019-08-05 20:14:21,Employer,Reason2,allegationtype2,
"Marshall, Chase",11K8310F,2019-03-15 06:34:13,Employer,Reason1,allegationtype2,
"Casias, Sandra",20G9930Q,2019-06-03 14:26:06,Employer,Reason1,allegationtype2,Information from employer
"Doremus, Davis",91U8498O,2019-05-24 13:02:10,Employer,Reason2,allegationtype2,
"Rankin, Danae",77R7604O,2019-03-14 10:29:22,Employer,Reason2,allegationtype2,Information from employer
"Mckitrick, Angel",90R5639L,2019-07-22 16:48:37,Member fo the public,Reason2,allegationtype2,Information from employer
"Trujillo, Kevin",66B1981K,2019-05-18 17:38:07,Employer,Reason2,allegationtype1,
"Khuu, Kevin",33X5337N,2019-11-10 13:21:28,Member fo the public,Reason2,allegationtype2,Information from employer
"Faberowski, Michael",54L5307F,2019-07-31 13:38:52,Employer,Reason2,allegationtype1,Information from employer
"Lor, Michael",99V7944X,2019-11-06 18:00:47,Employer,Reason2,allegationtype1,Information from employer
"Bragg, Lino",21L0999T,2019-01-31 18:52:24,Employer,Reason2,allegationtype1,Information from employer
"Chafin, Brandon",20P9334Y,2019-02-16 12:30:12,Member fo the public,Reason2,allegationtype2,
"Gilbert, Kyle",18F4309I,2019-09-18 07:18:51,Member fo the public,Reason1,allegationtype1,Information from employer
"Ghimire, Moses",08Z1302V,2019-01-30 17:28:46,Member fo the public,Reason1,allegationtype2,Information from employer
"Arapahoe, Ruby",09H4928Y,2019-11-10 02:21:04,Employer,Reason2,allegationtype1,
"al-Greiss, Adhraaa",07M4951P,2019-11-01 02:29:35,Member fo the public,Reason1,allegationtype1,
"Oh, Urey",69J1977T,2019-04-20 12:14:58,Employer,Reason2,allegationtype1,
"Cortez, Anastasia",96V8869L,2019-04-07 01:21:29,Employer,Reason1,allegationtype1,Information from employer
"Foster, Aubrey",50P5610A,2019-05-28 23:46:47,Employer,Reason2,allegationtype1,Information from employer
"al-Abood, Aarifa",25V2574R,2019-03-18 09:17:08,Employer,Reason2,allegationtype2,
"al-Moustafa, Aaqil",63I0797G,2019-12-25 23:07:55,Member fo the public,Reason1,allegationtype1,
"Vo, Isabella",77M0998D,2019-03-16 22:20:35,Employer,Reason1,allegationtype1,Information from employer
"Nolte, Jaime",14B7737U,2019-07-25 16:01:59,Employer,Reason1,allegationtype2,
"Mendoza, Gerardo",05F7561H,2019-09-10 11:31:57,Member fo the public,Reason1,allegationtype1,Information from employer
"Shihadeh, Lang",91Y2740K,2019-04-10 17:42:05,Employer,Reason2,allegationtype1,
"Park, Gerald",08D7148Z,2019-11-18 03:15:32,Member fo the public,Reason2,allegationtype2,
"Blais, Carly",05R8713I,2019-03-02 00:38:06,Employer,Reason1,allegationtype1,
"Miller, Jayratna",06W2821B,2019-09-29 01:38:12,Employer,Reason1,allegationtype1,
"Son, Yonghyuk",98I2815X,2019-07-31 00:09:32,Employer,Reason1,allegationtype2,
"al-Abood, Aarifa",06J0616Z,2019-09-06 08:50:49,Employer,Reason1,allegationtype2,Information from employer
"Mai, Harmandeep",37L7245P,2019-10-22 22:14:25,Employer,Reason1,allegationtype1,Information from employer
"Medina Rosales, Celso",00F1807P,2019-12-01 22:42:39,Employer,Reason1,allegationtype1,Information from employer
"Gabaldon, Devante",22D6889I,2019-01-12 06:33:08,Member fo the public,Reason2,allegationtype2,
"Rust, Cora",16F1490B,2019-08-04 23:30:08,Employer,Reason1,allegationtype2,
"Cordova, Jeremiah",84F5396Z,2019-10-08 22:53:17,Employer,Reason2,allegationtype1,Information from employer
"el-Bilal, Mudrik",83Q8047F,2019-10-30 15:11:10,Member fo the public,Reason1,allegationtype1,Information from employer
"Crazybear, Phanath",97X3754D,2019-06-22 10:44:56,Employer,Reason2,allegationtype1,
"John III, Robert",91V2647B,2019-11-16 21:36:17,Member fo the public,Reason1,allegationtype1,
"Wall, Lucas",45D6030Z,2019-09-05 07:20:23,Employer,Reason1,allegationtype1,
"Vigil, Mauricio",39D5524H,2019-08-15 12:37:13,Member fo the public,Reason1,allegationtype1,Information from employer
"Park, Sarah",43B3193W,2019-09-04 01:14:08,Member fo the public,Reason1,allegationtype2,Information from employer
"Earnest, Braedon",94C0413L,2019-06-15 04:04:51,Employer,Reason1,allegationtype1,Information from employer
"Nichols, Jordyn Andrew",49L6121V,2019-12-18 23:51:47,Employer,Reason1,allegationtype1,
"Cox, Jesse",12P6865P,2019-05-04 09:44:12,Employer,Reason2,allegationtype2,
"Heynen, Brandon",36R9929M,2019-10-13 03:35:58,Member fo the public,Reason2,allegationtype1,
"Nguyen, Ashley",96D5323O,2019-02-21 15:57:46,Employer,Reason2,allegationtype1,
"Padilla, Jenny",87H0009X,2019-02-07 02:12:16,Employer,Reason2,allegationtype1,Information from employer
"Pinto, Deion",11G4351J,2019-11-28 19:49:20,Member fo the public,Reason2,allegationtype2,
"Castellanos, Thalia",11C9188Y,2019-10-24 06:52:30,Member fo the public,Reason1,allegationtype2,
"Cervantes, Rose",60N2576R,2019-02-03 13:01:39,Employer,Reason2,allegationtype1,Information from employer
"Sierra, Marco",14R4531A,2019-03-19 13:54:00,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Younan, Bishr",60H2639P,2019-10-15 15:10:56,Member fo the public,Reason2,allegationtype1,
"Chavez, Breanna",12T1009T,2019-03-24 20:21:02,Employer,Reason2,allegationtype2,
"Patel, Kaelin",57M8594G,2019-12-05 23:56:11,Employer,Reason2,allegationtype2,
"Wong, Manna",08T8811K,2019-06-19 18:30:47,Employer,Reason2,allegationtype1,Information from employer
"el-Salek, Nafeesa",16W8852F,2019-06-13 12:27:24,Employer,Reason2,allegationtype2,Information from employer
"el-Edris, Saalim",85L6457Q,2019-09-17 10:38:05,Employer,Reason1,allegationtype2,
"Cox, Jesse",64F5928J,2019-03-24 15:18:01,Member fo the public,Reason2,allegationtype2,
"Jimenez, Amber",02Q0983E,2019-09-13 15:56:36,Member fo the public,Reason2,allegationtype2,Information from employer
"Lee, Deanna",36S5435B,2019-11-14 06:47:25,Employer,Reason1,allegationtype1,Information from employer
"Curry, Lee",69J3949L,2019-11-27 03:09:08,Employer,Reason2,allegationtype1,
"Yang, Beatriz",74T3061F,2019-07-27 01:26:32,Employer,Reason2,allegationtype2,Information from employer
"Devi, Maya",19L1028U,2019-01-22 19:44:52,Member fo the public,Reason2,allegationtype2,
"Sabido, Kirsten",08M2109N,2019-11-19 11:25:22,Member fo the public,Reason2,allegationtype2,Information from employer
"Reynolds, Joshua",58L8945Y,2019-02-24 13:54:07,Member fo the public,Reason2,allegationtype1,Information from employer
"Singh, Kailen",75G0101R,2019-07-01 01:37:58,Member fo the public,Reason2,allegationtype1,Information from employer
"Devito, Ashley",15I3063Y,2019-03-03 18:06:15,Member fo the public,Reason1,allegationtype1,
"Harris, Lonnie",82V4382A,2019-11-24 21:42:48,Employer,Reason2,allegationtype2,
"el-Abdo, Muzna",98K3809F,2019-12-10 17:18:50,Member fo the public,Reason1,allegationtype2,Information from employer
"Wingo, Breaja",08A5240V,2019-01-01 21:59:57,Employer,Reason1,allegationtype1,
"el-Harroun, Afnaan",66C6150A,2019-12-28 20:08:11,Employer,Reason2,allegationtype2,Information from employer
"Hayes, Cameron",52F1478Q,2019-01-02 21:06:03,Employer,Reason2,allegationtype1,
"Kearns, Vanessa",79G6762E,2019-04-02 11:18:23,Employer,Reason1,allegationtype2,Information from employer
"Pridgen, Bree",04P6477K,2019-05-16 03:12:55,Employer,Reason1,allegationtype1,Information from employer
"el-Harroun, Afnaan",31C6825U,2019-12-13 21:11:58,Employer,Reason2,allegationtype1,Information from employer
"Tanimoto, Devin",71S0099Q,2019-07-22 10:25:58,Member fo the public,Reason1,allegationtype1,Information from employer
"Brown, Dillon",73F4750N,2019-09-15 16:10:42,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Diab, Afaaf",91Q1277B,2019-07-16 05:41:56,Employer,Reason2,allegationtype1,
"Schmunk, Olivia",06P0410P,2019-10-20 19:43:50,Employer,Reason2,allegationtype1,
"Nguyen, Kayla",28S8462N,2019-10-12 10:40:00,Employer,Reason2,allegationtype1,
"Asmerom, Bernard",72Z7949W,2019-10-06 12:52:38,Member fo the public,Reason1,allegationtype1,Information from employer
"Schleining, Michael",89F7362C,2019-09-18 16:44:13,Member fo the public,Reason1,allegationtype2,
"Shrestha, Olivia",65H2198L,2019-10-31 20:21:05,Employer,Reason1,allegationtype2,Information from employer
"Martinez, Devon",02K8074Y,2019-07-11 16:41:39,Employer,Reason1,allegationtype1,
"Winters, Floyd",23D8743N,2019-01-16 06:39:55,Member fo the public,Reason2,allegationtype2,Information from employer
"Loza-Lopez, Justine",61M8710B,2019-10-05 17:00:37,Employer,Reason2,allegationtype1,
"Lynn, Rashawnya",68K5444S,2019-08-26 11:42:05,Employer,Reason1,allegationtype1,
"Payan, Orlando",00I9599J,2019-10-25 03:23:28,Member fo the public,Reason2,allegationtype2,Information from employer
"Martinez, Sergio",99K9569W,2019-03-18 22:46:22,Member fo the public,Reason2,allegationtype2,
"Standish, Briana",62Q5339I,2019-09-17 19:22:55,Employer,Reason1,allegationtype2,
"Jenkins, Marsean",21N9224Z,2019-01-17 09:43:32,Member fo the public,Reason2,allegationtype2,Information from employer
"Roy, Quinten",13P0012L,2019-06-25 14:01:20,Employer,Reason2,allegationtype1,Information from employer
"Seiler, Taylor",36M5319D,2019-01-14 10:35:17,Member fo the public,Reason1,allegationtype2,Information from employer
"Johnson, Jessica",87G4987H,2019-11-14 16:39:53,Employer,Reason2,allegationtype1,
"Blais, Carly",71G9306N,2019-12-08 04:58:41,Employer,Reason2,allegationtype2,
"Penny, Cedrick",83N2158O,2019-08-20 12:55:25,Member fo the public,Reason2,allegationtype2,Information from employer
"Gomez-Pedroza, Gabriel",02S9599S,2019-01-02 21:06:03,Member fo the public,Reason1,allegationtype1,Information from employer
"Kelley, Alexander",83E9293V,2019-12-12 09:39:17,Member fo the public,Reason2,allegationtype2,Information from employer
"Dokos, Gabrielle",70A2956L,2019-02-14 18:08:18,Member fo the public,Reason1,allegationtype1,
"Koch, Toua",88V4729W,2019-02-13 00:35:11,Member fo the public,Reason1,allegationtype2,
"Kashino, Satya",50U0571S,2019-10-22 22:14:25,Member fo the public,Reason1,allegationtype1,
"Wainwright, Anthony",62F8870M,2019-02-14 20:30:23,Member fo the public,Reason1,allegationtype2,
"Ackelson, Dallas",85N4294O,2019-04-18 05:20:17,Member fo the public,Reason2,allegationtype2,Information from employer
"Cuthbertson, Nathan",57U5494H,2019-06-12 02:02:37,Member fo the public,Reason2,allegationtype2,Information from employer
"Purcell, Ryan",55B4633L,2019-06-27 03:34:26,Member fo the public,Reason2,allegationtype1,Information from employer
"Wong, Andrew",87M2293F,2019-02-19 10:36:14,Employer,Reason1,allegationtype1,Information from employer
"Rasmussen, Taylor",06Y1880D,2019-12-03 12:31:59,Employer,Reason2,allegationtype1,
"el-Odeh, Abdul Hakeem",43E5747E,2019-01-31 03:04:27,Employer,Reason2,allegationtype2,Information from employer
"Grant, Simone",04U2334N,2019-10-17 06:59:21,Employer,Reason1,allegationtype1,
"Litt, Matthew",86A2803B,2019-07-22 05:34:47,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Agha, Ridwaan",93C6489K,2019-09-10 19:28:04,Member fo the public,Reason1,allegationtype2,Information from employer
"Cole, Anthony",02T3527H,2019-07-21 22:14:23,Employer,Reason2,allegationtype2,
"Vai, Marsalis",64Y5911T,2019-12-08 05:13:35,Member fo the public,Reason2,allegationtype1,
"Rockwell, Brian",33B7487C,2019-04-02 13:13:18,Member fo the public,Reason2,allegationtype2,Information from employer
"Payton, Simone",97H7193L,2019-11-29 10:09:40,Member fo the public,Reason2,allegationtype2,
"al-Hashem, Shafee'a",03P2870N,2019-03-12 08:50:44,Employer,Reason1,allegationtype1,
"el-Habib, Ruqayya",75X8560U,2019-02-16 14:44:38,Employer,Reason1,allegationtype1,Information from employer
"Turner, Mandy",11B4889C,2019-12-09 18:44:14,Employer,Reason2,allegationtype2,Information from employer
"Shepherd, Leemelvin",88G1257I,2019-10-16 20:09:35,Employer,Reason1,allegationtype1,
"el-Mannan, Sahla",63P6759O,2019-02-07 17:31:53,Employer,Reason2,allegationtype2,Information from employer
"Maxwell, Akila",14P5861I,2019-08-19 23:26:12,Employer,Reason2,allegationtype1,
"Golden, Ashley",07L4353I,2019-09-17 23:53:19,Employer,Reason1,allegationtype1,
"el-Mohamad, Rafeeq",43T9153V,2019-07-10 08:32:57,Employer,Reason1,allegationtype2,Information from employer
"Finch, Sage",76V8146B,2019-06-29 07:36:17,Employer,Reason1,allegationtype2,
"Wingo, Shirelle",98N2563C,2019-11-17 01:44:48,Employer,Reason2,allegationtype1,Information from employer
"el-Mohammad, Naqiyya",04B1616H,2019-06-14 09:56:59,Employer,Reason2,allegationtype1,Information from employer
"Vang, Lebon",71H7390Y,2019-05-02 21:45:16,Member fo the public,Reason1,allegationtype1,Information from employer
"Lopez, Jesse",65P9599Y,2019-02-23 16:19:29,Member fo the public,Reason2,allegationtype1,
"Reza, Lucely",85W6342J,2019-03-29 08:05:09,Employer,Reason1,allegationtype1,Information from employer
"Mateo, Sarah",99Y0444M,2019-12-17 03:10:33,Member fo the public,Reason1,allegationtype1,
"Jones, Deandre",22H4138P,2019-06-19 13:58:22,Employer,Reason1,allegationtype1,Information from employer
"Marynowski, Elizabeth",51T4581G,2019-08-31 23:21:58,Employer,Reason2,allegationtype2,Information from employer
"Poyer, Amanda",69D6116X,2019-01-15 17:07:52,Member fo the public,Reason1,allegationtype2,
"Matlock, Perla",51C9884K,2019-12-08 02:20:41,Member fo the public,Reason2,allegationtype2,Information from employer
"el-Abu, Faisal",23H7912R,2019-01-18 21:52:59,Member fo the public,Reason2,allegationtype2,Information from employer
"Torain, Jeremy",95T9818W,2019-07-30 22:59:26,Employer,Reason2,allegationtype2,Information from employer
"Cheung, Daniel",53M0118B,2019-03-15 13:08:26,Employer,Reason2,allegationtype1,
"Weeks, Nicholas",38B8785O,2019-09-25 03:24:29,Employer,Reason1,allegationtype1,Information from employer
"Myers, Brooke",59G3513U,2019-08-12 01:40:34,Member fo the public,Reason2,allegationtype1,
"al-Badie, Aabdeen",85Q7924T,2019-12-07 22:53:02,Member fo the public,Reason2,allegationtype2,Information from employer
"Sasaki, Andrew",51E8668F,2019-03-16 01:55:16,Member fo the public,Reason1,allegationtype2,
"Engen, Zachary",41P2176O,2019-11-26 02:22:22,Member fo the public,Reason2,allegationtype1,
"Futch, Aaron",48R0413S,2019-01-30 16:12:43,Employer,Reason2,allegationtype2,Information from employer
"Matthew, Reanna",75T5228B,2019-09-26 11:46:05,Member fo the public,Reason1,allegationtype1,Information from employer
"Fielder, Jennifer",81O8989S,2019-01-11 15:27:16,Member fo the public,Reason1,allegationtype1,
"Contreras, Amber",86K3052M,2019-09-03 12:46:18,Member fo the public,Reason2,allegationtype2,Information from employer
"Adams, Synquiss",39R7541E,2019-01-16 00:07:42,Employer,Reason2,allegationtype1,Information from employer
"Sotelo, Steven",96Z9781V,2019-10-21 02:48:13,Member fo the public,Reason1,allegationtype1,Information from employer
"Vu, Thao",92D2128A,2019-04-10 19:43:05,Employer,Reason1,allegationtype2,Information from employer
"Cross, Mychal",10R5141X,2019-10-31 00:28:14,Employer,Reason1,allegationtype1,Information from employer
"Rener, Sabryina",74K9646H,2019-08-04 06:50:01,Employer,Reason2,allegationtype1,Information from employer
"Kashino, Satya",24A7110K,2019-09-26 12:51:50,Employer,Reason2,allegationtype1,Information from employer
"al-Saade, Fakeeha",02K4210L,2019-04-21 12:26:32,Member fo the public,Reason1,allegationtype2,
"el-Matar, Waatiq",48N7525Z,2019-03-19 04:20:58,Member fo the public,Reason2,allegationtype1,
"Zhang, Varun",36U7561G,2019-11-25 10:02:43,Employer,Reason1,allegationtype2,
